emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
-0.0638,0.0,0.0,0.0,0.0
-0.0634,0.0,0.0,0.0,0.0
-0.0629,0.0,0.0,0.0,0.0
-0.0624,0.0,0.0,0.0,0.0
-0.062,0.0,0.0,0.0,0.0
-0.062,0.0,0.0,0.0,0.0
-0.062,0.0,0.0,0.0,0.0
-0.0633,0.0,0.0,0.0,0.0
-0.0645,0.0,0.0,0.0,0.0
-0.0658,0.0,0.0,0.0,0.0
-0.067,0.0,0.0,0.0,0.0
-0.0682,0.0,0.0,0.0,0.0
-0.0688,0.0,0.0,0.0,0.0
-0.0693,0.0,0.0,0.0,0.0
-0.0686,0.0,0.0,0.0,0.0
-0.0679,0.0,0.0,0.0,0.0
-0.0671,0.0,0.0,0.0,0.0
-0.0664,0.0,0.0,0.0,0.0
-0.0657,0.0,0.0,0.0,0.0
-0.0658,0.0,0.0,0.0,0.0
-0.0658,0.0,0.0,0.0,0.0
-0.0659,0.0,0.0,0.0,0.0
-0.0659,0.0,0.0,0.0,0.0
-0.0659,0.0,0.0,0.0,0.0
-0.066,0.0,0.0,0.0,0.0
-0.066,0.0,0.0,0.0,0.0
-0.0655,0.0,0.0,0.0,0.0
-0.0651,0.0,0.0,0.0,0.0
-0.065,0.0,0.0,0.0,0.0
-0.0651,0.0,0.0,0.0,0.0
