spend_all,spend_apg,spend_aer,spend_grf,spend_hcs,spend_acf,spend_tws,spend_retail_no_grocery,spend_retail_w_grocery
-0.109,-0.318,-0.496,0.535,-0.32899999999999996,-0.425,-0.47200000000000003,-0.0635,0.12300000000000001
-0.14,-0.382,-0.542,0.509,-0.32799999999999996,-0.495,-0.5,-0.0937,0.094
-0.159,-0.42,-0.575,0.483,-0.319,-0.5539999999999999,-0.5329999999999999,-0.11199999999999999,0.0721
-0.201,-0.449,-0.606,0.37799999999999995,-0.391,-0.591,-0.574,-0.14,0.0196
-0.22399999999999998,-0.45799999999999996,-0.62,0.31,-0.396,-0.603,-0.594,-0.154,-0.0112
-0.242,-0.469,-0.639,0.263,-0.441,-0.614,-0.615,-0.168,-0.0354
-0.262,-0.485,-0.657,0.213,-0.48700000000000004,-0.627,-0.636,-0.18600000000000003,-0.0627
-0.28800000000000003,-0.5,-0.684,0.14300000000000002,-0.511,-0.64,-0.655,-0.20600000000000002,-0.0983
-0.308,-0.515,-0.7090000000000001,0.102,-0.529,-0.652,-0.6729999999999999,-0.22699999999999998,-0.125
-0.324,-0.525,-0.7290000000000001,0.0801,-0.5479999999999999,-0.665,-0.6859999999999999,-0.23600000000000002,-0.13699999999999998
-0.321,-0.518,-0.723,0.0841,-0.556,-0.665,-0.6859999999999999,-0.233,-0.134
-0.306,-0.507,-0.727,0.0955,-0.5710000000000001,-0.665,-0.684,-0.225,-0.125
-0.299,-0.499,-0.684,0.115,-0.562,-0.662,-0.66,-0.22,-0.11599999999999999
-0.297,-0.49,-0.6859999999999999,0.134,-0.53,-0.662,-0.655,-0.215,-0.106
-0.29600000000000004,-0.484,-0.7090000000000001,0.141,-0.535,-0.6609999999999999,-0.66,-0.214,-0.10300000000000001
-0.293,-0.478,-0.711,0.147,-0.54,-0.657,-0.67,-0.212,-0.1
-0.28800000000000003,-0.473,-0.7170000000000001,0.154,-0.541,-0.657,-0.6779999999999999,-0.21100000000000002,-0.0972
-0.284,-0.467,-0.71,0.157,-0.516,-0.657,-0.68,-0.205,-0.0926
-0.293,-0.465,-0.6970000000000001,0.155,-0.539,-0.657,-0.685,-0.21,-0.0964
-0.3,-0.45799999999999996,-0.7509999999999999,0.149,-0.5479999999999999,-0.6509999999999999,-0.713,-0.209,-0.0977
-0.3,-0.452,-0.757,0.14400000000000002,-0.58,-0.644,-0.725,-0.205,-0.0965
-0.298,-0.446,-0.7290000000000001,0.16,-0.5760000000000001,-0.64,-0.7290000000000001,-0.2,-0.0879
-0.294,-0.441,-0.72,0.179,-0.5720000000000001,-0.635,-0.722,-0.19399999999999998,-0.0777
-0.316,-0.461,-0.721,0.107,-0.5710000000000001,-0.645,-0.728,-0.214,-0.115
-0.325,-0.47200000000000003,-0.737,0.0754,-0.578,-0.65,-0.7340000000000001,-0.215,-0.125
-0.28,-0.436,-0.705,0.16,-0.504,-0.628,-0.713,-0.166,-0.0632
-0.262,-0.41100000000000003,-0.6559999999999999,0.172,-0.498,-0.616,-0.708,-0.142,-0.042
-0.255,-0.397,-0.659,0.159,-0.47100000000000003,-0.614,-0.706,-0.126,-0.0352
-0.253,-0.396,-0.6859999999999999,0.11699999999999999,-0.47700000000000004,-0.613,-0.7070000000000001,-0.11,-0.0377
-0.251,-0.397,-0.705,0.0733,-0.486,-0.613,-0.713,-0.0998,-0.0443
-0.226,-0.38799999999999996,-0.703,0.0934,-0.486,-0.594,-0.6970000000000001,-0.0724,-0.0178
-0.209,-0.373,-0.674,0.0847,-0.46,-0.575,-0.6859999999999999,-0.0534,-0.008409999999999999
-0.212,-0.33299999999999996,-0.691,0.0896,-0.49700000000000005,-0.579,-0.6990000000000001,-0.0294,0.00787
-0.217,-0.345,-0.743,0.0877,-0.48700000000000004,-0.5870000000000001,-0.698,-0.0361,0.00233
-0.244,-0.401,-0.7709999999999999,0.0477,-0.5670000000000001,-0.593,-0.701,-0.0886,-0.0464
-0.237,-0.39299999999999996,-0.745,0.0701,-0.5479999999999999,-0.593,-0.6990000000000001,-0.0856,-0.0374
-0.23,-0.386,-0.7290000000000001,0.102,-0.531,-0.585,-0.6920000000000001,-0.0758,-0.021
-0.225,-0.365,-0.7340000000000001,0.159,-0.519,-0.583,-0.6920000000000001,-0.0638,0.0048200000000000005
-0.221,-0.35100000000000003,-0.7490000000000001,0.214,-0.547,-0.5870000000000001,-0.698,-0.0571,0.0264
-0.23800000000000002,-0.397,-0.7709999999999999,0.13699999999999998,-0.5379999999999999,-0.598,-0.701,-0.0927,-0.0215
-0.231,-0.392,-0.754,0.14,-0.5479999999999999,-0.593,-0.6990000000000001,-0.0827,-0.0135
-0.2,-0.335,-0.723,0.19899999999999998,-0.462,-0.581,-0.69,-0.0265,0.0438
-0.193,-0.325,-0.716,0.203,-0.46,-0.5670000000000001,-0.667,-0.0159,0.0523
-0.19,-0.316,-0.7020000000000001,0.19899999999999998,-0.47100000000000003,-0.5579999999999999,-0.657,-0.00564,0.0582
-0.183,-0.314,-0.69,0.19899999999999998,-0.48200000000000004,-0.5489999999999999,-0.6509999999999999,-0.00295,0.06
-0.172,-0.306,-0.684,0.19699999999999998,-0.45399999999999996,-0.544,-0.644,0.00675,0.0659
-0.171,-0.302,-0.667,0.192,-0.389,-0.5379999999999999,-0.644,0.0118,0.0679
-0.17,-0.301,-0.652,0.179,-0.391,-0.54,-0.638,0.0152,0.066
-0.16399999999999998,-0.295,-0.647,0.171,-0.379,-0.545,-0.635,0.0195,0.0663
-0.159,-0.293,-0.628,0.17600000000000002,-0.389,-0.5429999999999999,-0.647,0.0227,0.0704
-0.14800000000000002,-0.28,-0.628,0.204,-0.396,-0.537,-0.6509999999999999,0.0302,0.0848
-0.155,-0.285,-0.637,0.18,-0.40399999999999997,-0.516,-0.642,0.019,0.0693
-0.174,-0.303,-0.6459999999999999,0.12300000000000001,-0.401,-0.509,-0.639,-0.00173,0.037000000000000005
-0.175,-0.293,-0.629,0.12300000000000001,-0.363,-0.534,-0.634,0.0117,0.046
-0.166,-0.282,-0.63,0.139,-0.332,-0.528,-0.628,0.0238,0.0597
