gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces
-0.16699999999999998,-0.0771,0.0914,-0.327,-0.253
-0.177,-0.0843,0.0686,-0.32899999999999996,-0.25
-0.17300000000000001,-0.0814,0.0486,-0.33299999999999996,-0.261
-0.18,-0.0857,0.0414,-0.33299999999999996,-0.253
-0.18100000000000002,-0.0843,0.0171,-0.336,-0.254
-0.184,-0.0843,-0.0129,-0.33899999999999997,-0.254
-0.187,-0.0843,-0.0429,-0.34299999999999997,-0.256
-0.18899999999999997,-0.0829,-0.0529,-0.344,-0.256
-0.191,-0.0829,-0.0671,-0.34700000000000003,-0.257
-0.193,-0.0786,-0.0914,-0.349,-0.26
-0.191,-0.0743,-0.0829,-0.34700000000000003,-0.259
-0.193,-0.0729,-0.0743,-0.344,-0.259
