merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
-0.35700000000000004,-0.287,-0.133,-0.358,-0.428
-0.355,-0.284,-0.133,-0.358,-0.426
-0.36,-0.287,-0.153,-0.37200000000000005,-0.425
-0.359,-0.28600000000000003,-0.158,-0.374,-0.424
-0.369,-0.298,-0.166,-0.376,-0.43700000000000006
-0.364,-0.292,-0.16399999999999998,-0.374,-0.435
-0.358,-0.28600000000000003,-0.157,-0.369,-0.431
-0.349,-0.27699999999999997,-0.152,-0.36,-0.423
-0.341,-0.267,-0.15,-0.359,-0.415
-0.336,-0.26,-0.147,-0.35600000000000004,-0.408
-0.327,-0.251,-0.139,-0.34600000000000003,-0.4
-0.318,-0.242,-0.131,-0.33299999999999996,-0.39299999999999996
-0.312,-0.235,-0.127,-0.322,-0.38799999999999996
-0.306,-0.22699999999999998,-0.125,-0.312,-0.381
-0.304,-0.223,-0.125,-0.309,-0.38
-0.302,-0.218,-0.126,-0.309,-0.37799999999999995
-0.303,-0.21899999999999997,-0.13,-0.311,-0.377
-0.303,-0.22,-0.134,-0.306,-0.376
-0.299,-0.21600000000000003,-0.133,-0.299,-0.373
-0.295,-0.213,-0.133,-0.295,-0.37
-0.289,-0.209,-0.13,-0.289,-0.366
-0.28300000000000003,-0.205,-0.129,-0.282,-0.36200000000000004
-0.27899999999999997,-0.203,-0.125,-0.28,-0.35700000000000004
-0.275,-0.19899999999999998,-0.121,-0.278,-0.35200000000000004
-0.268,-0.192,-0.11800000000000001,-0.271,-0.34700000000000003
-0.264,-0.187,-0.11800000000000001,-0.262,-0.344
-0.257,-0.18100000000000002,-0.115,-0.253,-0.33799999999999997
-0.25,-0.175,-0.11199999999999999,-0.245,-0.332
-0.24600000000000002,-0.16899999999999998,-0.11199999999999999,-0.243,-0.326
-0.245,-0.168,-0.114,-0.24600000000000002,-0.322
-0.243,-0.168,-0.11199999999999999,-0.247,-0.318
-0.24100000000000002,-0.16699999999999998,-0.0981,-0.23399999999999999,-0.314
-0.24,-0.168,-0.109,-0.239,-0.318
